Epoch,Exe Time,Precision@10 (Train),Precision@10 (Test),Recall@10 (Train),Recall@10 (Test)
1,0.061835051,0.134254143,0.116666675,0.114695971,0.091721332
2,0.106714487,0.177569076,0.107291669,0.157660527,0.087141579
3,0.15459919,0.200331494,0.130208343,0.179309762,0.105603186
4,0.193488836,0.219116002,0.115625001,0.201559798,0.0956247
5,0.23133707,0.226519331,0.109375007,0.210464115,0.092139465
6,0.275264502,0.231712714,0.132291675,0.211891279,0.110836381
7,0.316154957,0.246408835,0.117708348,0.232263501,0.093697112
8,0.379021406,0.23524861,0.110416673,0.217930749,0.096834774
9,0.407916307,0.247182339,0.117708348,0.231698758,0.097197511
10,0.468748331,0.264972389,0.107291676,0.249600767,0.088845837
11,0.483714819,0.260994494,0.116666675,0.245029896,0.094109124
12,0.612867594,0.255248606,0.109375007,0.238587339,0.093697027
13,0.621340513,0.264088392,0.122916676,0.250683874,0.103827024
14,0.682175636,0.262430936,0.115625001,0.249102091,0.100542712
15,0.732043743,0.27966851,0.115625001,0.265685958,0.099995994
16,0.778962851,0.27060774,0.10625001,0.254420586,0.085285055
17,0.756973267,0.27060774,0.122916676,0.253229918,0.097602924
18,0.821805954,0.287292808,0.125000015,0.27254965,0.104996754
19,0.827744961,0.282099426,0.111458339,0.261750443,0.096782842
20,0.863691092,0.281104952,0.126041666,0.26443584,0.107972898
21,0.97386694,0.279116035,0.110416681,0.258095411,0.095700347
22,0.963452816,0.285193413,0.103125006,0.264505053,0.085653427
23,0.993371725,0.28232044,0.116666675,0.26349609,0.100320728
24,1.04923296,0.285966873,0.122916676,0.27108001,0.098885535
25,1.128957748,0.286519319,0.12187501,0.270154528,0.10427405
26,1.103052616,0.291491687,0.12187501,0.274488402,0.098552475
27,1.1549263,0.300994515,0.118750006,0.286441176,0.100744132
28,1.175818205,0.3129282,0.119791679,0.298209727,0.100904966
29,1.235670805,0.299337029,0.104166679,0.283416534,0.088029995
30,1.281602144,0.292375654,0.12187501,0.280628699,0.106746238
31,1.341415167,0.312707186,0.11354167,0.295919333,0.094980037
32,1.386257887,0.307734817,0.119791679,0.290008784,0.102053803
33,1.399273634,0.301104963,0.112500012,0.283878807,0.093475793
34,1.44114089,0.321104974,0.110416673,0.304745184,0.08803168
35,1.597728729,0.318342537,0.112500012,0.301424556,0.09492749
36,1.704802275,0.305414379,0.115625001,0.289879384,0.098820584
37,1.604711294,0.327513814,0.112500012,0.309825777,0.09239584
38,1.628617764,0.315469623,0.110416673,0.300059896,0.092892415
39,1.698424578,0.31480667,0.108333349,0.298379621,0.094384651
40,1.721400976,0.314033151,0.114583343,0.301357036,0.097924888
41,1.741370916,0.315359145,0.11354167,0.30137869,0.097368245
42,1.780229568,0.321878433,0.118750013,0.307310833,0.097838756
43,1.838119984,0.326740354,0.105208337,0.31303616,0.086112527
44,1.870007277,0.316795588,0.112500012,0.30079781,0.092720489
45,1.913850784,0.325082898,0.118750006,0.309751871,0.097812148
46,1.945790529,0.320773453,0.116666675,0.306918744,0.097144496
47,2.001652718,0.336243093,0.109375007,0.324112846,0.09643928
48,2.037556171,0.325303853,0.102083348,0.312711665,0.083488741
49,2.077491045,0.335138112,0.116666675,0.323269017,0.100032639
50,2.105347872,0.342320442,0.111458339,0.329517395,0.088193869
51,2.155239344,0.329060793,0.115625001,0.313835563,0.099740425
52,2.187140465,0.337900549,0.114583343,0.322228314,0.097532533
53,2.306879282,0.333812118,0.12187501,0.318118809,0.100241039
54,2.344690323,0.341215491,0.117708348,0.32651326,0.099137554
55,2.305839062,0.333480656,0.115625001,0.32099807,0.100706646
56,2.361690044,0.333922654,0.125000015,0.320463085,0.107458694
57,2.388571024,0.328839779,0.118750013,0.315455935,0.095750195
58,2.437511206,0.336132616,0.115625016,0.319176793,0.099129903
59,2.496318579,0.333259672,0.12187501,0.31828366,0.105120083
60,2.510291576,0.334033132,0.113541685,0.318220016,0.098095046
61,2.584102154,0.344861925,0.120833337,0.334987769,0.102792576
62,2.610025644,0.332154691,0.108333342,0.320083403,0.093305732
63,2.649917603,0.339337021,0.132291675,0.328198009,0.10942126
64,2.667836428,0.35259667,0.117708348,0.340408571,0.095900728
65,2.733692408,0.340331495,0.122916676,0.324949442,0.09831977
66,2.775622845,0.347071826,0.115625001,0.333798681,0.096637221
67,2.929147243,0.348950267,0.114583343,0.33700212,0.095781283
68,2.829437494,0.353480667,0.116666675,0.338870283,0.093795126
69,2.902242184,0.346077353,0.110416673,0.3310542,0.092249756
70,2.937115192,0.347182333,0.114583343,0.329834987,0.090932111
71,2.964078426,0.349502742,0.115625001,0.338764235,0.096334532
72,3.001015425,0.344640911,0.114583343,0.334914625,0.093154343
73,3.045836926,0.351491719,0.126041666,0.339282854,0.103161729
74,3.121660471,0.346298367,0.111458339,0.332869926,0.092791099
75,3.167569399,0.343204439,0.130208328,0.331007114,0.10618048
76,3.19346714,0.348729283,0.119791664,0.335046281,0.096430202
77,3.341071129,0.351160198,0.122916676,0.333450647,0.107387553
78,3.316136837,0.348950297,0.107291669,0.337127462,0.089309535
79,3.314142227,0.35337019,0.118750006,0.338991725,0.097600178
80,3.340075493,0.340552509,0.120833337,0.331664918,0.107657063
81,3.395958424,0.353591174,0.126041681,0.343609803,0.099881084
82,3.80682683,0.355138153,0.104166664,0.34651732,0.084864678
83,3.443830729,0.353812158,0.137500003,0.341581293,0.117852567
84,3.507599831,0.347071797,0.125000015,0.338165306,0.108587498
85,3.574445248,0.350607753,0.120833337,0.342868464,0.099880902
86,3.880671978,0.354364663,0.116666675,0.343128115,0.098089407
87,3.909056187,0.34994477,0.112500004,0.341775824,0.091046067
88,3.800883293,0.358895004,0.120833345,0.351444934,0.098626331
89,3.727075815,0.358011037,0.12187501,0.347571455,0.103875003
90,3.756968975,0.359005541,0.117708333,0.347880164,0.099942642
91,3.814794064,0.351270735,0.115625001,0.340891409,0.099921799
92,3.878637791,0.356243134,0.12187501,0.342669415,0.104842449
93,3.884652615,0.354364663,0.112500012,0.343555543,0.092099882
94,3.949456215,0.361767948,0.113541685,0.352485587,0.091229048
95,4.025282145,0.367845327,0.114583336,0.356488467,0.099167929
96,4.043207407,0.357790083,0.108333342,0.345532036,0.092346177
97,4.050194025,0.359668553,0.117708348,0.344404642,0.096571552
98,4.102991343,0.355469614,0.116666675,0.346762725,0.098020005
99,4.110053778,0.364751428,0.104166664,0.353866288,0.090014772
100,4.263571739,0.36243096,0.114583343,0.350761072,0.088212922
101,4.269626856,0.355580091,0.114583336,0.346278971,0.09451927
102,4.524040937,0.358232051,0.110416673,0.347291593,0.090939911
103,4.587774277,0.356906086,0.118750006,0.345311304,0.100311878
104,4.709385633,0.356574595,0.112500004,0.349898307,0.09052355
105,4.429191351,0.361215502,0.115625001,0.351924765,0.097822582
106,4.440107107,0.361988962,0.125000015,0.35349957,0.10660457
107,4.587777615,0.360773474,0.117708348,0.349930822,0.101118397
108,4.83902812,0.36696133,0.114583336,0.353790317,0.096876287
109,5.123311043,0.362320483,0.11354167,0.353444112,0.096501422
110,5.079451323,0.36243093,0.120833337,0.349148704,0.09384771
111,5.065901279,0.363425434,0.11354167,0.354202581,0.090053369
112,5.080455303,0.361657441,0.113541685,0.351456437,0.092089265
113,4.783233881,0.35977906,0.105208337,0.351364427,0.08598761
114,4.826108694,0.363535911,0.114583343,0.35487593,0.099190756
115,4.941768885,0.367403328,0.118750013,0.359205962,0.096105003
116,4.915874958,0.361878455,0.125000015,0.35765256,0.10183679
117,4.911882162,0.35977906,0.123958342,0.351084312,0.101944767
118,4.969707727,0.364530414,0.120833337,0.355187082,0.09854963
119,4.974672079,0.366740346,0.101041675,0.355805351,0.081656478
120,5.106394529,0.372707158,0.109375,0.360758982,0.081744814
121,5.086420774,0.368950307,0.12187501,0.358419111,0.097697202
122,5.171136379,0.364198893,0.12187501,0.357129347,0.104386317
123,5.195163488,0.368950307,0.129166678,0.358675619,0.103062085
124,5.215019464,0.369834274,0.111458339,0.363081381,0.091336192
125,5.227030277,0.369834274,0.112500012,0.362331273,0.097185394
126,5.283903599,0.366077363,0.115625001,0.35781401,0.093231615
127,5.304821491,0.35712707,0.111458339,0.348816907,0.093166542
128,5.368679047,0.366850853,0.116666675,0.356596042,0.093333791
129,5.354725361,0.366850823,0.117708333,0.35990294,0.097368831
130,5.88228178,0.366408855,0.117708348,0.355385234,0.106518851
131,5.625963211,0.36508286,0.122916669,0.353744332,0.101753195
132,5.787518978,0.365856349,0.117708348,0.357891496,0.102399381
133,6.229354143,0.365745842,0.115625001,0.358630176,0.094199546
134,6.178475857,0.37038675,0.11354167,0.365504788,0.097647898
135,5.966022015,0.360883951,0.10625001,0.353283266,0.083141489
136,6.180665731,0.368729293,0.127083346,0.360637707,0.113182841
137,6.114656925,0.371381253,0.101041675,0.359507477,0.084211428
138,6.542546272,0.37491715,0.10625001,0.369483457,0.088473431
139,5.892254114,0.373701662,0.127083346,0.365111391,0.105915732
140,5.891309977,0.362651944,0.100000001,0.352711534,0.0846765
141,6.01196599,0.365966856,0.128125012,0.355566988,0.10409935
142,5.956065655,0.363314927,0.103125006,0.355489692,0.080688786
143,5.975007057,0.370828748,0.114583336,0.363119607,0.094295973
144,6.059044361,0.37679559,0.115625016,0.372263333,0.097029576
145,6.241320848,0.373259693,0.117708348,0.361460487,0.099628311
146,6.115694523,0.368287265,0.12187501,0.358026002,0.102419086
147,6.124625683,0.369502783,0.115625001,0.357265816,0.098664343
148,6.152593851,0.374475151,0.10625001,0.3630206,0.085368769
149,6.231380939,0.373922676,0.115625016,0.365558167,0.096823559
150,6.401095867,0.366629869,0.112500012,0.364349624,0.094334184
151,6.355023861,0.371270716,0.112500012,0.363136427,0.092585076
